award,is_album,is_song,is_artist
Best Jazz Performance By A Soloist (Instrumental),False,False,False
Best Jazz Vocal Performance,False,False,False
Best Arrangement For Voices,False,False,False
"Best Gospel Performance, Contemporary Or Insprirational",False,False,False
"Best Gospel Performance, Traditional",False,False,False
"Best Soul Gospel Performance, Contemporary",False,False,False
"Best Soul Gospel Performance, Traditional",False,False,False
Album Of the Year,True,False,False
Best Album Of Original Score Written For A Motion Picture Or A Television Special,True,False,False
"Best Classical Performance, Instrumental Soloist(s) (With Orchestra)",False,False,False
"Best Classical Performance, Instrumental Soloist(s) (Without Orchestra)",False,False,False
"Best Gospel Performance, Contemporary Or Inspirational",False,False,False
Best Historical Repackage Album,True,False,False
"Best Jazz Instrumental Performance, Big Band",False,False,False
"Best Jazz Instrumental Performance, Group",False,False,False
"Best Jazz Instrumental Performance, Soloist",False,False,False
Best Arrangement Accompanying Vocals,False,False,False
Best Classical Album,True,False,False
Best Classical Orchestral Recording,False,False,False
Best Disco Recording,False,False,False
Best Historical Album,True,False,False
"Best Jazz Fusion Performance, Vocal Or Instrumental",False,False,False
Best Rock Instrumental Performance,False,False,False
Best Rock Vocal Performance By A Duo Or Group,False,False,False
"Best Rock Vocal Performance, Female",False,False,False
"Best Rock Vocal Performance, Male",False,False,False
Classical Producer Of The Year,False,False,False
"Producer Of The Year, Non-Classical",False,False,False
Best Country Performance Duo Or Group,False,False,False
Best Historical Reissue Record,False,False,False
"Best Jazz Vocal Performance, Female",False,False,False
"Best Jazz Vocal Performance, Male",False,False,False
Best Pop Performance By A Duo Or Group With Vocal,False,False,False
Best R&B Performance By A Duo Or Group With Vocal,False,False,False
Best Rock Performance By A Duo Or Group With Vocal,False,False,False
Producer Of The Year (Non-Classical),False,False,False
Best Arrangement On An Instrumental Recording,False,False,False
Best Gospel Performance Contemporary Or Inspirational,False,False,False
Best Instrumental Arrangement Accompanying Vocal(s),False,False,False
"Best Jazz Vocal Performance, Duo Or Group",False,False,False
Best Vocal Arrangement For Two Or More Voices,False,False,False
Video Of The Year,False,False,False
"Best Classical Performance, Instrumental Soloist Or Soloists (Without Orchestra)",False,False,False
Best Ethnic Or Traditional Folk Recording,False,False,False
"Best Gospel Performance, Contemporary",False,False,False
Best Jazz Vocal Performance Duo Or Group,False,False,False
Best Traditional Blues Recording,False,False,False
Best Arrangement On An Instrumental,False,False,False
Best Classical Vocal Performance,False,False,False
Best Gospel Performance By A Duo Or Group,False,False,False
"Best Gospel Performance, Female",False,False,False
"Best Gospel Performance, Male",False,False,False
"Best Jazz Instrumental Performance, SOLO",False,False,False
Best Latin Pop Performance,False,False,False
Best Mexican-American Performance,False,False,False
Best New Country Song,False,True,False
"Best Recording For Children - Single or Album, Musical or Spoken",True,False,False
Best Soul Gospel Performance By A Duo Or Group,False,False,False
"Best Soul Gospel Performance, Female",False,False,False
"Best Soul Gospel Performance, Male",False,False,False
Best Spoken Word Or Non-Musical Recording,False,False,False
Best Tropical Latin Performance,False,False,False
Best Video Album,True,False,False
"Best Video, Short Form",False,False,False
Best Jazz Vocal,False,False,False
Best New Classical Composition,False,False,False
Best Reggae Recording,False,False,False
Best Video,False,False,False
Best Contemporary Composition,False,False,False
"Best Country Instrumental Performance (Orchestra, Group Or Soloist)",False,False,False
Best Country Vocal Performance - Female,False,False,False
Best Gospel Performance - Male,False,False,False
"Best Gospel Performance By A Duo Or Group, Choir Or Chorus",False,False,False
Best Jazz Vocal Performance - Female,False,False,False
Best Jazz Vocal Performance - Male,False,False,False
"Best Music Video, Long Form",False,False,False
"Best Music Video, Short Form",False,False,False
Best New Classical Artist,False,False,True
Best Polka Recording,False,False,False
"Best Pop Instrumental Performance (Orchestra, Group Or Soloist)",False,False,False
"Best R&B Instrumental Performance (Orchestra, Group Or Soloist)",False,False,False
Best Rock Vocal Performance - Female,False,False,False
Best Soul Gospel Performance - Male,False,False,False
"Best Soul Gospel Performance By A Duo, Group, Choir or Chorus - Singles, Albums or Tracks",True,False,False
Best Contemporary Folk Recording,False,False,False
"Best Country Instrumental Performance, (Orchestra, Group Or Soloist)",False,False,False
"Best Country Vocal Solo Performance, Male",False,False,False
Best Instrumental Arrangement Accompanying Vocals,False,False,False
Best Musical Cast Show Album,True,False,False
Best New Age Recording,False,False,False
"Best Pop Instrumental Performance, (Orchestra, Group Or Soloist)",False,False,False
"Best Rock Instrumental Performance, (Orchestra, Group Or Soloist)",False,False,False
"Best Soul Gospel Performance By A Duo, Group, Choir Or Chorus",False,False,False
Best Traditional Folk Recording,False,False,False
Best Album Or Original Instrumental Background Score Written For A Motion Picture Or Television,True,False,False
Best Classical Performance - Instrumental Soloist(s) (With Orchestra),False,False,False
Best Classical Performance - Instrumental Soloist(s) (Without Orchestra),False,False,False
Best Concept Music Video,False,False,False
Best Contemporary Blues Recording,False,False,False
"Best Country Instrumental Performance (Orchestra, Group Of Soloist)",False,False,False
"Best Country Vocal Performance, Duet",False,False,False
Best Instrumental Jazz Performance (Group),False,False,False
Best New Age Performance,False,False,False
Best Orchestral Recording,False,False,False
Best Performance Music Video,False,False,False
"Best Rock Instrumental Performance (Orchestra, Group Or Soloist)",False,False,False
"Best Rock Vocal Performance, Female, Male",False,False,False
Best Song Written Specifically For A Motion Picture Or Television,False,True,False
"Best Soul Gospel Performance By A Duo Or Group, Choir Or Chorus",False,False,False
"Producer Of The Year, (Non-Classical)",False,False,False
Best Album Of Original Instrumental Background Score Written For A Motion Picture Or Television,True,False,False
Best Bluegrass Recording (Vocal Or Instrumental),False,False,False
Best Country Vocal Collaboration,False,False,False
Best Hard Rock/Metal Performance Vocal Or Instrumental,False,False,False
Best Instrumental Composition (other than Jazz),False,False,False
Best Jazz Fusion Performance,False,False,False
Best Jazz Instrumental Performance Soloist (On A Jazz Recording),False,False,False
Best Rap Performance,False,False,False
Best Bluegrass Recording,False,False,False
"Best Classical Performance, Instrumental Soloist (With Orchestra)",False,False,False
"Best Classical Performance, Instrumental Soloist (Without Orchestra)",False,False,False
"Best Gospel Vocal Performance By A Duo, Group, Choir Or Chorus",False,False,False
"Best Gospel Vocal Performance, Female",False,False,False
"Best Gospel Vocal Performance, Male",False,False,False
Best Hard Rock Performance,False,False,False
"Best Jazz Instrumental Performance, Soloist (On A Jazz Recording)",False,False,False
Best Metal Performance,False,False,False
Best Music Video - Long Form,False,False,False
Best Music Video - Short Form,False,False,False
Best Orchestral Performance,False,False,False
"Best Soul Gospel Vocal Performance By A Duo, Group, Choir Or Chorus",False,False,False
"Best Soul Gospel Vocal Performance, Female, Male",False,False,False
Best Alternative Music Performance,False,False,False
Best Chamber Music Or Other Small Ensemble Performance,False,False,False
Best Contemporary Soul Gospel Album,True,False,False
Best Gospel Album By A Choir Or Chorus,True,False,False
Best Instrumental Composition Written For A Motion Picture Or For Television,False,False,False
Best Pop Gospel Album,True,False,False
Best Rap Performance By A Duo Or Group,False,False,False
Best Rap Solo Performance,False,False,False
Best Rock/Contemporary Gospel Album,True,False,False
Best Song Written Specifically For A Motion Picture Or For Television,False,True,False
Best Southern Gospel Album,True,False,False
Best Traditional Soul Gospel Performance,False,False,False
Best Album For Children,True,False,False
Best Alternative Music Album,True,False,False
Best Bluegrass Album,True,False,False
Best Classical Performance Instrumental Solo With Orchestra,False,False,False
Best Classical Performance Instrumental Solo Without Orchestra,False,False,False
Best Classical Vocal Soloist,False,False,False
Best Comedy Album,True,False,False
Best Contemporary Blues Album,True,False,False
Best Contemporary Folk Album,True,False,False
Best Contemporary Jazz Performance,False,False,False
Best Country Performance By A Duo Group With Vocal,False,False,False
Best Engineered Album - Non-Classical,True,False,False
Best Gospel Album By Choir Or Chorus,True,False,False
Best Hard Rock Performance With Vocal,False,False,False
Best Jazz Instrumental Solo,False,False,False
Best Large Jazz Ensemble Performance,False,False,False
Best Latin Pop Album,True,False,False
Best Mexican-American Album,True,False,False
Best Musical Show Album,True,False,False
Best New Age Album,True,False,False
Best Performance Of A Choral Work,False,False,False
Best Polka Album,True,False,False
Best Reggae Album,True,False,False
Best Rock Song,False,True,False
"Best Rock Vocal Performance, Solo",False,False,False
Best Spoken Word Or Non-Musical Album,True,False,False
Best Traditional Blues Album,True,False,False
Best Traditional Folk Album,True,False,False
Best Traditional Pop Performance,False,False,False
Best Traditional Soul Gospel Album,True,False,False
Best Tropical Latin Album,True,False,False
Best World Music Album,True,False,False
Best Classical Performance - Instrumental Solo With Orchestra,False,False,False
Best Classical Performance - Instrumental Solo Without Orchestra,False,False,False
Best Contemporary Jazz Performance (Instrumental),False,False,False
"Best Jazz Instrumental Performance, Individual Or Group",False,False,False
Best Traditional Pop Vocal Performance,False,False,False
Best Classical Performance-Instrumental Soloist (Without Orchestra),False,False,False
Best Classical Performance-Instrumental Soloist(s) (With Orchestra),False,False,False
Best Metal Performance With Vocal,False,False,False
Best Music Video-Long Form,False,False,False
Best Musical Album For Children,True,False,False
Best Pop/Contemporary Gospel Album,True,False,False
Best Recording Package,False,False,False
Best Rock Gospel Album,True,False,False
"Best Southern Gospel, Country Gospel Or Bluegrass Gospel Album",True,False,False
Best Spoken Comedy Album,True,False,False
Best Spoken Word Album For Children,True,False,False
Best Choral Performance,False,False,False
Best Classical Engineered Recording,False,False,False
Best Country Album,True,False,False
"Best Engineered Album, - Non-Classical",True,False,False
Best Female Country Vocal Performance,False,False,False
Best Female Pop Vocal Performance,False,False,False
Best Female R&B Vocal Performance,False,False,False
Best Female Rock Vocal Performance,False,False,False
Best Instrumental Arrangement With Accompanying Vocals,False,False,False
Best Instrumental Soloist Performance (With Orchestra),False,False,False
Best Instrumental Soloist Performance (Without Orchestra),False,False,False
Best Latin Jazz Performance,False,False,False
Best Male Country Vocal Performance,False,False,False
Best Male Pop Vocal Performance,False,False,False
Best Male R&B Vocal Performance,False,False,False
Best Male Rock Vocal Performance,False,False,False
Best Pop Album,True,False,False
Best Pop Perf. By A Duo Of Group With Vocal,False,False,False
Best Pop Vocal Collaboration,False,False,False
Best R&B Album,True,False,False
Best Recording Package - Boxed,False,False,False
Best Rock Album,True,False,False
"Best Southern Gospel, Country Gospel Or Bluegrass Album",True,False,False
Best Country Collaboration With Vocals,False,False,False
Best Instrumental Arrangement With Accompanying Vocal(s),False,False,False
Best Instrumental Soloist(s) Performance (With Orchestra),False,False,False
Best Mexican-American/Tejano Music Performance,False,False,False
Best Pop Collaboration With Vocals,False,False,False
Best Rap Album,True,False,False
"Best Southern Gospel, Country Gospel or Bluegrass Gospel Album",True,False,False
Best Small Ensemble Performance (With or Without Conductor),False,False,False
Best Boxed Recording Package,False,False,False
Best Dance Recording,False,False,False
"Best Engineered Album, Classical",True,False,False
Best Gospel Choir Or Chorus Album,True,False,False
Best Latin Rock/Alternative Performance,False,False,False
Best Long Form Music Video,False,False,False
Best Short Form Music Video,False,False,False
Best Small Ensemble Performance (With Or Without Conductor),False,False,False
"Best Southern, Country Or Bluegrass Gospel Album",True,False,False
Best Spoken Word Album,True,False,False
"Producer Of The Year, Classical",False,False,False
"Remixer Of The Year, Non-Classical",False,False,False
Best Classical Crossover Album,True,False,False
Best Mexican-American Music Performance,False,False,False
Best Song Written For A Motion Picture Or For Television,False,True,False
"Best Southern, Country, Or Bluegrass Gospel Album",True,False,False
Best Tejano Music Performance,False,False,False
Best Traditional R&B Vocal Performance,False,False,False
"Remixer Of The Year, Non-classical",False,False,False
Best Instrumental Arrangement Accompanying Vocalist(s),False,False,False
"Best Instrumental Composition Written For A Motion Picture, Television Or Other Visual Media.",False,False,False
"Best Jazz Instrumental Performance, Individual or Group",False,False,False
Best Merengue Performance,False,False,False
Best Salsa Performance,False,False,False
"Best Song Written For A Motion Picture, Television Or Other Visual Media.",False,True,False
Best Soundtrack Album,True,False,False
Best Tejano Performance,False,False,False
Best Traditional Tropical Latin Performance,False,False,False
"Remixer of the Year, Non-Classical",False,False,False
"Best Compilation Soundtrack Album For A Motion Picture, Television Or Other Visual Media",True,False,False
Best Contemporary Jazz Album,True,False,False
"Best Engineered Album, Non-Classical",True,False,False
Best Instrumental Arrangement Accompanying A Vocalist(s),False,False,False
Best Instrumental Soloist Performance (without Orchestra),False,False,False
Best Instrumental Soloist(s) Performance (with Orchestra),False,False,False
"Best Jazz Instrumental Album, Individual or Group",True,False,False
Best Jazz Vocal Album,True,False,False
Best Large Jazz Ensemble Album,True,False,False
Best Latin Jazz Album,True,False,False
Best Latin Rock/Alternative Album,True,False,False
Best Merengue Album,True,False,False
Best Mexican/Mexican-American Album,True,False,False
Best Native American Music Album,True,False,False
Best Pop Instrumental Album,True,False,False
Best Pop Vocal Album,True,False,False
Best R&B Song,False,True,False
Best Salsa Album,True,False,False
"Best Score Soundtrack Album For A Motion Picture, Television Or Other Visual Media",True,False,False
Best Small Ensemble Performance (with or without Conductor),False,False,False
"Best Southern, Country, or Bluegrass Gospel Album",True,False,False
Best Spoken Word Album for Children,True,False,False
Best Tejano Album,True,False,False
Best Traditional Pop Vocal Album,True,False,False
Best Traditional R&B Vocal Album,True,False,False
Best Traditional Tropical Latin Album,True,False,False
Best Rap/Sung Collaboration,False,False,False
"Best Remixed Recording, Non-Classical",False,False,False
Best Boxed Or Special Limited Edition Package,False,False,False
Best Contemporary R&B Album,True,False,False
Best Female Rap Solo Performance,False,False,False
Best Male Rap Solo Performance,False,False,False
"Best Song Written For A Motion Picture, Television Or Other Visual Media",False,True,False
Best Urban/Alternative Performance,False,False,False
Best Contemporary World Music Album,True,False,False
Best R&B Performance By A Duo Or Group With Vocals,False,False,False
Best Rap Song,False,True,False
Best Salsa/Merengue Album,True,False,False
Best Traditional World Music Album,True,False,False
Best Electronic/Dance Album,True,False,False
Best Hawaiian Music Album,True,False,False
Best Solo Rock Vocal Performance,False,False,False
Best Surround Sound Album,True,False,False
"Best Compilation Soundtrack Album For Motion Picture, Television Or Other Visual Media",True,False,False
Best Gospel Song,False,True,False
"Best Score Soundtrack Album For Motion Picture, Television Or Other Visual Media",True,False,False
"Best Song Written For Motion Picture, Television Or Other Visual Media",False,True,False
Best Banda Album,True,False,False
Best Contemporary Folk/Americana Album,True,False,False
Best Contemporary R&B Gospel Album,True,False,False
"Best Latin Rock, Alternative Or Urban Album",True,False,False
Best Norteño Album,True,False,False
Best Rock Or Rap Gospel Album,True,False,False
Best Small Ensemble Performance,False,False,False
"Best Spoken Word Album (Includes Poetry, Audio Books & Story Telling)",True,False,False
Best Traditional Gospel Album,True,False,False
Best Country Performance By A Duo Or Group With Vocals,False,False,False
Best Latin Rock Or Alternative Album,True,False,False
Best Latin Urban Album,True,False,False
Best Pop Performance By A Duo Or Group With Vocals,False,False,False
Best Rock Performance By A Duo Or Group With Vocals,False,False,False
Best Zydeco Or Cajun Music Album,True,False,False
Best Regional Mexican Album,True,False,False
Best Americana Album,True,False,False
Best Improvised Jazz Solo,False,False,False
Album Notes,True,False,False
Alternative Music Album,True,False,False
Americana Album,True,False,False
Banda Album,True,False,False
Bluegrass Album,True,False,False
Boxed Or Special Limited Edition Package,False,False,False
Chamber Music Performance,False,False,False
Choral Performance,False,False,False
Classical Album,True,False,False
Classical Contemporary Composition,False,False,False
Classical Crossover,False,False,False
Classical Vocal Performance,False,False,False
Comedy Album,True,False,False
Compilation Soundtrack Album,True,False,False
